timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2022-06-02 05:12:18.560336,30,befbfc72-b683-4e3d-8009-ab78b0ad8ef8,167.94.138.118,48406,34.125.121.193,5432,postgresql,0
2022-06-02 05:12:33.711383,15,175fc8f7-17b8-4bef-a21a-8707707f33e4,167.94.138.118,32938,34.125.121.193,5432,postgresql,0
2022-06-02 06:13:27.938914,2,9e58eae4-85e0-4d9e-99f4-03be54f9d253,198.235.24.17,63097,34.125.121.193,143,imap,0
2022-06-02 06:28:29.526248,0,248f5d45-7075-43e7-b6b3-2a1b57bc8873,45.61.188.191,58056,34.125.121.193,1080,socks5,0
2022-06-02 06:35:08.460062,0,94a657aa-e784-477c-a2e3-a12850394455,172.104.4.141,61000,34.125.121.193,110,pop3,0
2022-06-02 06:44:28.450279,0,939e29b3-4eb2-4097-b4c8-5a0e3fed43cc,45.79.153.64,61000,34.125.121.193,143,imap,0
2022-06-02 06:56:57.479125,30,651dfa02-7310-4caf-8345-2b1953e99659,167.94.146.58,56972,34.125.121.193,5432,postgresql,0
2022-06-02 06:57:12.932679,15,ca6303d7-7698-4476-923f-131ae4ff15d8,167.94.146.58,51016,34.125.121.193,5432,postgresql,0
2022-06-02 07:20:48.720721,0,718f4a69-c297-4a91-9550-10c48f9a302a,45.61.185.190,35214,34.125.121.193,1080,socks5,0
2022-06-02 07:24:04.836956,0,a112739d-9d59-496a-95dd-f8def220582f,162.142.125.222,51666,34.125.121.193,465,smtps,0
2022-06-02 07:34:49.228510,0,e78e41ca-fec6-4e60-a2f4-b650123707f5,167.94.138.60,49588,34.125.121.193,5900,vnc,0
2022-06-02 07:52:28.322681,15,84c3b003-e811-479e-be51-c1577352e9d9,167.248.133.46,60640,34.125.121.193,110,pop3,0
2022-06-02 08:38:23.640952,0,7267e28b-3168-43b0-9979-aa573c644be5,172.104.4.141,61000,34.125.121.193,110,pop3,0
2022-06-02 08:44:46.423218,0,869cfd69-a5e6-4c4a-83f4-e38584d0cd42,112.6.118.70,2729,34.125.121.193,5900,vnc,0
2022-06-02 08:44:47.091491,1,ce94adb1-3bcd-4bcf-9cf6-aa608fe0296f,112.6.118.70,2730,34.125.121.193,5900,vnc,1
2022-06-02 08:44:58.304009,0,66e16382-fb19-4054-9700-1c7a57927c57,112.6.118.70,2731,34.125.121.193,5900,vnc,1
2022-06-02 08:45:29.356924,0,55f6ae1c-07bc-4e59-8070-c291fdcf3a6d,112.6.118.70,2732,34.125.121.193,5900,vnc,1
2022-06-02 08:46:03.415545,0,b59ccc14-c63a-4284-ac81-eed0f284964f,112.6.118.70,2733,34.125.121.193,5900,vnc,1
2022-06-02 08:46:36.520827,1,b50783c3-ca67-4486-80df-068de69cd7f2,112.6.118.70,2734,34.125.121.193,5900,vnc,1
2022-06-02 08:46:43.584968,0,1947498a-7534-48f8-a466-f6808d2505b0,112.6.118.70,2735,34.125.121.193,5900,vnc,1
2022-06-02 08:46:44.928838,0,7ff03be0-6f22-4a13-ad60-158337226b59,112.6.118.70,2736,34.125.121.193,5900,vnc,1
2022-06-02 08:46:47.499704,0,41f591c4-d8ec-4f94-984b-172ab7895c9c,112.6.118.70,2737,34.125.121.193,5900,vnc,1
2022-06-02 08:46:59.379670,1,4302d240-b22b-4a63-995c-74d57a74c8bd,112.6.118.70,2738,34.125.121.193,5900,vnc,1
2022-06-02 08:47:05.307785,0,770cf531-0caa-4126-8cc7-43af90eff2c5,112.6.118.70,2739,34.125.121.193,5900,vnc,1
2022-06-02 08:47:15.268766,0,74f0e486-74b2-4c1b-b919-dad1b1ee0bd7,112.6.118.70,2740,34.125.121.193,5900,vnc,1
2022-06-02 08:47:22.413233,0,9c9a160d-ce33-463a-81d9-e5a4d207f520,112.6.118.70,2741,34.125.121.193,5900,vnc,1
2022-06-02 08:47:29.759211,0,afc43297-b48e-45a2-af4f-338737b56e5a,112.6.118.70,2742,34.125.121.193,5900,vnc,1
2022-06-02 08:47:42.214685,0,13e54f97-7386-4506-8263-eb1452feda70,112.6.118.70,2743,34.125.121.193,5900,vnc,1
2022-06-02 08:47:45.305283,0,1c3c77d4-4dc6-4622-8cd4-e5ffbfbcbd94,112.6.118.70,2744,34.125.121.193,5900,vnc,1
2022-06-02 08:47:46.624411,1,71f07e96-1254-40f9-99b0-5e9998b2dd25,112.6.118.70,2745,34.125.121.193,5900,vnc,1
2022-06-02 08:47:53.120734,1,0c3df623-fbc0-4773-96a6-4e27515f244e,112.6.118.70,2746,34.125.121.193,5900,vnc,1
2022-06-02 08:47:54.742168,1,fa1de895-4b29-402e-8e83-1ade0cf44a6e,112.6.118.70,2747,34.125.121.193,5900,vnc,1
2022-06-02 08:48:00.735067,1,845c60d3-ef29-4ea2-b938-6611eb715c35,112.6.118.70,2748,34.125.121.193,5900,vnc,1
2022-06-02 08:48:02.237950,0,7b3f58f2-2e60-4855-945d-ea9531eb32b8,112.6.118.70,2749,34.125.121.193,5900,vnc,1
2022-06-02 08:48:03.751727,0,14729787-8d1e-497d-a581-7713235a8b70,112.6.118.70,2750,34.125.121.193,5900,vnc,1
2022-06-02 08:48:14.579872,1,e1643f5c-5719-4c0b-9d14-3c63bc9618ca,112.6.118.70,2751,34.125.121.193,5900,vnc,1
2022-06-02 08:48:21.428802,1,a5718721-ead3-466b-8f4c-22aabbbacfb8,112.6.118.70,2752,34.125.121.193,5900,vnc,1
2022-06-02 08:48:23.035265,1,03f3e07e-5dc9-4049-92f5-647a7a23a2af,112.6.118.70,2753,34.125.121.193,5900,vnc,1
2022-06-02 08:48:28.449806,0,fcaedff6-8561-41a5-baf8-eda5e397e588,112.6.118.70,2754,34.125.121.193,5900,vnc,1
2022-06-02 08:48:29.868571,0,c3bb5755-2d87-4885-b7e5-e42039da8ba2,112.6.118.70,2755,34.125.121.193,5900,vnc,1
2022-06-02 08:48:31.311570,1,54c0bdf7-d544-4f94-b056-5482a82893b9,112.6.118.70,2756,34.125.121.193,5900,vnc,1
2022-06-02 08:49:02.948274,0,87808430-fecc-49e5-aeab-2b9f4c4bc0df,112.6.118.70,2757,34.125.121.193,5900,vnc,1
2022-06-02 08:49:24.283252,0,80ecaa43-9423-49a5-bf64-95d8a8618039,112.6.118.70,2758,34.125.121.193,5900,vnc,1
2022-06-02 08:49:35.622389,0,10f55552-33dd-447d-856c-279aabe05ca6,45.79.157.142,61000,34.125.121.193,143,imap,0
2022-06-02 08:49:43.701036,5,b5821840-0643-4fca-bb3f-f76c7984c4fd,112.6.118.70,2759,34.125.121.193,5900,vnc,1
2022-06-02 08:49:49.513672,1,e56a5097-546d-4ea0-9f10-dc2b6dc04b8f,112.6.118.70,2760,34.125.121.193,5900,vnc,1
2022-06-02 08:49:52.778838,1,cc7ccd4f-025d-463a-aea8-3525d8c82ce5,112.6.118.70,2761,34.125.121.193,5900,vnc,1
2022-06-02 08:50:05.390619,1,7d740b6f-b476-443d-8963-d1cfaad57d75,112.6.118.70,2762,34.125.121.193,5900,vnc,1
2022-06-02 08:50:07.893323,1,927f108d-ce98-4433-9f3e-7b72876213cf,112.6.118.70,2763,34.125.121.193,5900,vnc,1
2022-06-02 08:50:19.028716,1,95054cce-a3c4-4a86-a76d-843d476bd506,112.6.118.70,2764,34.125.121.193,5900,vnc,1
2022-06-02 08:50:20.982317,0,71f704f3-5780-4a1e-8ac4-dccf114fe633,112.6.118.70,2765,34.125.121.193,5900,vnc,1
2022-06-02 08:50:22.347218,0,bb47d66f-cd35-41e1-ba29-e11c5d7d1b33,112.6.118.70,2766,34.125.121.193,5900,vnc,1
2022-06-02 08:50:26.054101,1,2d7a7c72-7cce-4c7b-aa4e-ee5af27e21f4,112.6.118.70,2767,34.125.121.193,5900,vnc,1
2022-06-02 08:50:27.615790,0,a8933332-dd07-4247-93c1-8d2aaf43e52f,112.6.118.70,2768,34.125.121.193,5900,vnc,1
2022-06-02 08:50:43.504974,0,d3ccf4e9-005e-427b-892f-9c862c2514c3,112.6.118.70,2769,34.125.121.193,5900,vnc,1
2022-06-02 08:50:46.762944,0,a47e3c8d-9fc4-478f-8921-647900da5148,112.6.118.70,2770,34.125.121.193,5900,vnc,1
2022-06-02 08:51:10.638576,0,ec33ac22-1853-4f90-9beb-99d33bb62005,112.6.118.70,2771,34.125.121.193,5900,vnc,1
2022-06-02 08:51:19.610042,0,97f1545d-2603-4c55-a261-f77132f09ad6,112.6.118.70,2772,34.125.121.193,5900,vnc,1
2022-06-02 08:58:29.697945,30,93c096bb-5d32-402e-b276-432ac8a39a4c,162.142.125.220,39282,34.125.121.193,5432,postgresql,0
2022-06-02 08:58:44.857731,15,c54443f8-91c5-43cd-8b7d-8a7fbf70266a,162.142.125.220,53924,34.125.121.193,5432,postgresql,0
2022-06-02 09:16:59.880650,0,bc5b3f1e-8291-46cd-8330-5f164df28ef3,34.140.248.32,53358,34.125.121.193,5432,postgresql,0
2022-06-02 10:29:57.088455,0,bff776a8-0b2f-4652-8b63-6e0fdb78b3b7,45.61.185.190,56222,34.125.121.193,1080,socks5,0
2022-06-02 10:35:06.389059,0,9df35ac0-6836-4f98-adce-8cf7911d82a2,45.61.188.191,33294,34.125.121.193,1080,socks5,0
2022-06-02 10:37:07.559192,0,079a60ba-ef20-4511-bffc-db03a5c61d9e,45.33.81.53,61000,34.125.121.193,110,pop3,0
2022-06-02 10:42:53.782427,0,f1c4cc78-3952-439d-9bbd-ac6a94ea58d1,143.198.151.109,45430,34.125.121.193,5900,vnc,0
2022-06-02 10:42:58.218775,0,cdbf514b-e31f-4aa4-9f3a-6ae2c9ec1d8b,172.104.208.229,61000,34.125.121.193,143,imap,0
2022-06-02 10:45:57.658158,0,f13f98e8-565e-46f4-8410-9b466b41984d,143.198.151.109,46558,34.125.121.193,5900,vnc,0
2022-06-02 10:48:56.310016,0,3d2943ba-2e87-4005-8b25-02c2759a7712,143.198.151.109,47660,34.125.121.193,5900,vnc,0
2022-06-02 10:51:57.683307,0,8944d9ca-ceba-4265-9b6c-efac2a0dde0f,143.198.151.109,48776,34.125.121.193,5900,vnc,0
